title,link,deadline
Researching Research: Collaborative Research Projects,www.volkswagenstiftung.de/en/funding/funding-offer/researching-research-collaborative-research-projects,"Online Q&A on October 10, 10 AM CET (in German, registration until Oct. 7) October 30, 2024 Deadline for call 'Political influences on epistemic practice'"
Pioneer Projects – Impetus for the German Research System,www.volkswagenstiftung.de/en/funding/funding-offer/pioneer-projects-impetus-german-research-system,"October 15, 2024 Deadline for draft proposals"
Theme Week '(Tackling) Loneliness',www.volkswagenstiftung.de/en/funding/funding-offer/theme-week-tackling-loneliness,"October 29, 2024 Deadline Theme week in Hannover on June 11 to 13, 2025"
Transformational Knowledge on Democracies under Change – Transdisciplinary Perspectives,www.volkswagenstiftung.de/en/funding/funding-offer/transformational-knowledge-democracies-under-change-transdisciplinary-perspectives,"October 29, 2024 Deadline for task forces November 18, 2024 Deadline networking workshop for cooperation projects Next deadline for cooperation projects in 2025"
Scoping Workshops,www.volkswagenstiftung.de/en/funding/funding-offer/scoping-workshops,"October 29, 2024 Deadline"
zukunft.niedersachsen: Lower Saxony Impulse Professorship,https://zukunft.niedersachsen.de/en/funding-offers/lower-saxony-impulse-professorship/,"November 15, 2024 Deadline June 01, 2025 Deadline"
NEXT – Quantum Biology,www.volkswagenstiftung.de/en/funding/funding-offer/next-quantum-biology,"February 11, 2025 Deadline (Please note: application is only possible from mid-January 2025)"
"Theme Week ""The (De)tabooing of Science and Research""",www.volkswagenstiftung.de/en/funding/funding-offer/theme-week-detabooing-science-and-research,"February 11, 2025 Deadline (Theme week in Hanover on September 17-19, 2025)"
Researching Research: Collaborative Research Projects,www.volkswagenstiftung.de/en/funding/funding-offer/researching-research-collaborative-research-projects,"Online Q&A on October 10, 10 AM CET (in German, registration until Oct. 7) October 30, 2024 Deadline for call 'Political influences on epistemic practice'"
Pioneer Projects – Impetus for the German Research System,www.volkswagenstiftung.de/en/funding/funding-offer/pioneer-projects-impetus-german-research-system,"October 15, 2024 Deadline for draft proposals"
Theme Week '(Tackling) Loneliness',www.volkswagenstiftung.de/en/funding/funding-offer/theme-week-tackling-loneliness,"October 29, 2024 Deadline Theme week in Hannover on June 11 to 13, 2025"
Transformational Knowledge on Democracies under Change – Transdisciplinary Perspectives,www.volkswagenstiftung.de/en/funding/funding-offer/transformational-knowledge-democracies-under-change-transdisciplinary-perspectives,"October 29, 2024 Deadline for task forces November 18, 2024 Deadline networking workshop for cooperation projects Next deadline for cooperation projects in 2025"
Scoping Workshops,www.volkswagenstiftung.de/en/funding/funding-offer/scoping-workshops,"October 29, 2024 Deadline"
zukunft.niedersachsen: Lower Saxony Impulse Professorship,https://zukunft.niedersachsen.de/en/funding-offers/lower-saxony-impulse-professorship/,"November 15, 2024 Deadline June 01, 2025 Deadline"
NEXT – Quantum Biology,www.volkswagenstiftung.de/en/funding/funding-offer/next-quantum-biology,"February 11, 2025 Deadline (Please note: application is only possible from mid-January 2025)"
"Theme Week ""The (De)tabooing of Science and Research""",www.volkswagenstiftung.de/en/funding/funding-offer/theme-week-detabooing-science-and-research,"February 11, 2025 Deadline (Theme week in Hanover on September 17-19, 2025)"
Transdisciplinary Approaches to Mobility and Global Health,www.volkswagenstiftung.de/en/funding/funding-offer/transdisciplinary-approaches-mobility-and-global-health,March 2025: Deadline for full proposals (phase 2)
